XCoord,YCoord,OBJECTID,CLASS,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_9,BAND_10,BAND_11,BAND_12,BAND_13,BAND_14,BAND_15,BAND_16
8090132.53760000,2634454.06720000,52,1,150,124,145,42,100,83,97,28,6,7,7,3,900,914,900,493
8071860.03070000,2660715.48630000,53,1,75,73,81,43,50,49,54,29,4,3,4,2,300,295,300,192
8090181.99490000,2634543.02870000,54,1,129,123,147,47,86,82,98,31,11,6,5,4,1419,846,750,499
8090118.20830000,2634523.97560000,55,1,150,121,145,48,100,81,97,32,11,6,5,4,1650,798,740,497
8080966.13250000,2622770.18070000,56,1,150,98,145,67,100,66,97,44,5,3,5,2,750,485,600,345
8083617.58490000,2637068.18680000,57,1,126,94,132,65,84,63,88,44,4,3,4,2,504,440,568,318
8077533.42550000,2627929.88080000,58,1,148,116,138,45,99,77,92,30,5,5,4,3,740,591,450,349
8090165.39380000,2634480.56890000,59,1,150,126,147,41,100,84,98,27,6,7,7,3,900,943,924,480
8077040.50790000,2627377.06200000,60,1,130,117,138,44,87,78,92,29,5,5,5,2,650,610,600,264
8077014.28670000,2627325.41180000,61,1,150,117,129,39,100,78,86,26,7,5,5,2,1050,637,650,267
8098801.99190000,2632483.07830000,62,1,150,44,0,60,100,30,0,40,3,1,0,2,450,150,0,212
8081009.17470000,2622762.57630000,63,1,150,90,144,71,100,60,96,47,5,3,5,3,750,469,600,391
8077540.87550000,2627931.86700000,64,1,148,116,138,45,99,78,92,30,6,5,4,3,888,604,515,351
8090415.54590000,2642986.13300000,65,1,150,75,91,64,100,50,61,43,8,4,5,3,1200,490,560,433
8071857.48130000,2660706.72210000,66,1,70,73,81,44,47,49,54,29,4,3,4,2,280,293,300,193
8090382.30290000,2642957.89280000,67,1,150,76,90,65,100,51,60,43,5,4,5,3,750,466,515,419
8083613.19280000,2637043.71180000,68,1,127,106,139,60,85,71,93,40,4,4,4,2,508,480,580,290
8090138.34090000,2634445.99900000,69,1,150,126,145,40,100,84,97,27,6,7,8,3,900,946,1015,481
8090202.43260000,2634515.15920000,70,1,150,124,147,47,100,82,98,31,13,6,6,4,1950,886,896,498
8090105.30010000,2634443.95380000,71,1,150,123,142,42,100,82,95,28,5,6,6,3,750,851,882,484
8090374.13190000,2642960.85520000,72,1,150,76,90,65,100,51,60,43,5,4,5,3,750,466,515,419
8077587.01410000,2627916.14830000,73,1,150,112,133,46,100,75,89,31,7,5,5,3,1050,659,615,374
8090386.21030000,2642998.76460000,74,1,150,85,114,62,100,57,76,41,7,4,6,3,1050,550,624,417
8066671.64740000,2645559.99260000,75,1,150,127,142,37,100,84,95,25,13,8,6,3,1950,1025,900,508
8090192.33180000,2634495.20360000,76,1,150,126,147,43,100,84,98,29,9,7,7,3,1350,938,900,485
8090404.40750000,2642992.34060000,77,1,150,79,99,63,100,53,66,42,8,4,5,3,1200,509,580,427
8082741.44230000,2612211.96370000,78,1,139,90,115,55,93,60,77,37,3,2,2,1,417,236,240,176
8066660.52000000,2645529.65060000,79,1,150,131,145,34,100,88,97,22,13,8,6,3,1950,1045,900,487
8077021.26770000,2627383.21980000,80,1,150,117,132,41,100,78,88,27,6,5,5,2,900,612,615,258
